Role,Session,ID,Alliance,rf1,rf2,rf3,rf4,rf5,rf6,rf7,rf8,rf9,rf10,Investor_Total,Trustee_Total,Scores_Total
T,01_02,01,78,0.666666667,0.111111111,0,0,0,0,0,0.076923077,0.866666667,0,171,209,380
T,03_04,03,82,0.5,0,1,0.458333333,0.529411765,0.549019608,0.366666667,0.843137255,0.1,0.666666667,255,283,538
T,05_06,05,73,0.666666667,0.666666667,0.729166667,0.5,0.666666667,0.877192982,0.789473684,1,0.833333333,1,434,106,540
T,07_08,07,67,0.490196078,0.796296296,0.5,0.85,0.483333333,0.578947368,0.833333333,0.518518519,0.533333333,0.266666667,342,232,574
T,11_12,11,69,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,N/A,0.333333333,280,242,522
T,13_14,13,46,0.5,0.357142857,0.75,0.666666667,0.588235294,0.6,0.407407407,0.511111111,0,0.862745098,266,158,424
T,15_16,15,49,0.5,0.5,0.575757576,0.555555556,0.69047619,0.764705882,0.877192982,0.916666667,0.777777778,0.916666667,384,112,496
T,17_18,17,62,1,1,0.5,0.555555556,0.5,0.555555556,0.666666667,0.666666667,0.705882353,0.666666667,324,114,438
T,19_20,19,63,0.5,0.5,0.555555556,0.515151515,0.5,0.511111111,0.533333333,0.5,0.511111111,0.5,250,140,390
T,21_22,21,63,0.871794872,0.75,0.766666667,0.75,0.75,0.771929825,0.862745098,0.740740741,0.733333333,0.733333333,444,130,574
T,27_28,27,77,0.5,0.727272727,0.6,0.466666667,0.533333333,0.571428571,0.866666667,0.416666667,0.8,0.633333333,268,116,384
T,31_32,31,64,1,1,1,1,1,1,1,1,1,1,540,0,540
T,35_36,35,63,0.5,0.266666667,0.666666667,0.433333333,N/A,0.5,0.5,0.5,N/A,0.5,260,212,472
T,39_40,39,51,0,0.5,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.454545455,0.333333333,0.393939394,197,187,384
T,41_42,41,74,1,1,0.416666667,0.5,0.6,0.666666667,0.566666667,0.616666667,0.964912281,0.933333333,399,157,556
T,47_48,47,77,1,1,0.866666667,0.833333333,0.944444444,0.907407407,1,0.962962963,1,1,476,22,498
T,51_52,51,47,1,1,1,1,1,1,1,1,1,1,542,0,542
T,53_54,53,61,1,1,1,1,1,0.966666667,0.966666667,0.666666667,0.916666667,0.5,527,49,576
T,55_56,55,73,0.614035088,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.683333333,0.666666667,0.719298246,0.666666667,399,197,596
T,57_58,57,51,0.5,0.533333333,0.575757576,0.6,0.433333333,0.571428571,0.555555556,0.761904762,0.549019608,0.509803922,281,155,436
T,59_60,59,72,0.666666667,0.777777778,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,213,151,364
T,61_62,61,63,0.5,0.666666667,0.476190476,0.523809524,0.666666667,0.714285714,0.666666667,0.555555556,N/A,0.333333333,259,97,356
T,63_64,63,72,0.555555556,0.512820513,0.666666667,0.583333333,0.666666667,0.75,0.526315789,0.555555556,0.833333333,0.75,371,187,558
T,67_68,67,65,0.784313725,0.888888889,0.5,0.583333333,0.583333333,0.583333333,0.666666667,0.666666667,0.583333333,0.583333333,373,211,584
T,69_70,69,72,0.666666667,0.666666667,0.666666667,0.571428571,0.666666667,0,0.888888889,0.666666667,0.818181818,0.777777778,295,97,392
T,71_72,71,53,0.666666667,0.625,0.483333333,0.5,0.5,0.516666667,0.516666667,0.533333333,0.5,0.5,312,270,582
T,73_74,73,40,0.333333333,0.333333333,0.5,0.484848485,0.5,0.533333333,0.533333333,0.533333333,0.333333333,0.5,234,144,378
T,75_76,75,57,0.333333333,0.466666667,0.476190476,0.5,0.642857143,0.5,0.481481481,0.5,0.488888889,0.5,252,180,432
P,01_02,02,49,0.5,0.222222222,0.088888889,0.166666667,0,0.111111111,0.166666667,0.0625,0.047619048,0,113,379,492
P,03_04,04,81,0.233333333,0,0.462962963,0.291666667,0.5,0.458333333,0.333333333,0.444444444,0.444444444,0.333333333,224,236,460
P,05_06,06,75,0.266666667,0.2,0.166666667,0.5,0.133333333,0.333333333,0.523809524,0.523809524,0.777777778,0.285714286,225,189,414
P,07_08,08,80,0.422222222,0.35,0.183333333,0.2,0.333333333,0.384615385,0.5,0.229166667,0.266666667,0.333333333,192,264,456
P,11_12,12,65,0.238095238,0.222222222,0.333333333,0.380952381,0.2,0.142857143,N/A,0.25,0.222222222,0.333333333,180,178,358
P,13_14,14,41,0.222222222,0.128205128,0.166666667,0.148148148,0.166666667,N/A,0.333333333,0.333333333,0.333333333,0.333333333,174,260,434
P,15_16,16,45,0,0,0,0,0,N/A,0,0,0,0,74,378,452
P,17_18,18,62,0.5,0.5,0.5,0.5,0.666666667,0.666666667,0.666666667,0.5,0.488888889,0.5,320,242,562
P,19_20,20,61,0.2,0.555555556,0.5,0.523809524,0.515151515,0.5,0.925925926,0.5,0.509803922,0.75,296,144,440
P,21_22,22,66,0.488888889,0.5,0.333333333,0.509803922,0.458333333,0.466666667,0.393939394,0.476190476,0.666666667,0.527777778,262,204,466
P,27_28,28,84,0.476190476,0.484848485,0.444444444,0.5,0.444444444,0.151515152,0.333333333,0.233333333,0.444444444,0.5,223,203,426
P,31_32,32,77,0.583333333,0.5,0.583333333,0.5,0.5,0.685185185,0.5,0.583333333,0.555555556,0.315789474,312,274,586
P,35_36,36,79,0.333333333,0.333333333,0.444444444,0.333333333,0.666666667,0.222222222,0,0,0.333333333,0.333333333,200,192,392
P,39_40,40,47,0.5,0.111111111,0.5,0.333333333,N/A,0.166666667,0.5,0.333333333,0.5,0.333333333,216,202,418
P,41_42,42,82,0.5,0.511111111,0.583333333,0.555555556,0.5,0.333333333,0.5,0.5,0.666666667,0.583333333,305,259,564
P,47_48,48,71,0.333333333,0.2,0,0.555555556,0,N/A,0.111111111,N/A,0.166666667,0.666666667,173,141,314
P,51_52,52,73,0.208333333,0.444444444,0.277777778,0.333333333,0.361111111,0.333333333,0.166666667,0.259259259,0.37037037,0.333333333,188,216,404
P,53_54,54,81,0.933333333,0.333333333,0.533333333,0.5,0.481481481,0.555555556,0.533333333,0.541666667,0.549019608,0.583333333,296,182,478
P,55_56,56,77,0.333333333,0.233333333,0.222222222,0.166666667,0.533333333,0.5,N/A,0.148148148,0.166666667,0.263157895,186,178,364
P,57_58,58,62,0.5,0.222222222,0.462962963,0.333333333,0.5,N/A,0.166666667,0,0,0,190,202,392
P,59_60,60,77,0.333333333,0.487179487,0.541666667,0.285714286,0.333333333,0.466666667,0.361111111,0.393939394,0.388888889,0.266666667,215,231,446
P,61_62,62,76,0.366666667,0.194444444,0.555555556,0.5,0.444444444,0.619047619,0.636363636,0.761904762,0.904761905,0.883333333,300,132,432
P,63_64,64,83,1,0.666666667,0.5,0.833333333,1,0.333333333,0.5,0.5,0.083333333,0.666666667,335,221,556
P,67_68,68,74,0.333333333,0.288888889,0.37037037,0.25,0.083333333,0.4,0.368421053,0.55,0.044444444,N/A,183,301,484
P,69_70,70,79,0.466666667,0.333333333,0.537037037,0.277777778,#DIV/0!,0.333333333,0.383333333,0.666666667,#DIV/0!,0.210526316,231,227,458
P,71_72,72,71,0.483333333,0.516666667,0.683333333,0.583333333,0.833333333,0.666666667,0.166666667,0.5,0.516666667,n/a,317,243,560
P,73_74,74,57,0.166666667,0.177777778,0.523809524,0.166666667,0.333333333,0,0.533333333,0,0,0,176,154,330
P,75_76,76,75,0.5,0.452380952,0.4,0.416666667,0.571428571,0,0.25,0.3,0,n/a,221,151,372
